Id,Name,Price,Rating,Types,Hours,Address,Phone
45,Guy Hollerin's Ann Arbor Bar & Grill,2,3.5,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 6:30 AM – 11:00 PM', 'Tuesday: 6:30 AM – 11:00 PM', 'Wednesday: 6:30 AM – 11:00 PM', 'Thursday: 6:30 AM – 11:00 PM', 'Friday: 6:30 AM – 12:00 AM', 'Saturday: 7:00 AM – 12:00 AM', 'Sunday: 7:00 AM – 10:00 PM']","3600 Plymouth Rd, Ann Arbor, MI 48105, USA",+17347694323
46,Palm Palace,2,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 10:00 AM – 10:00 PM', 'Tuesday: 10:00 AM – 10:00 PM', 'Wednesday: 10:00 AM – 10:00 PM', 'Thursday: 10:00 AM – 10:00 PM', 'Friday: 10:00 AM – 11:00 PM', 'Saturday: 10:00 AM – 11:00 PM', 'Sunday: 10:00 AM – 10:00 PM']","2370 Carpenter Rd, Ann Arbor, MI 48108, USA",+17346060706
47,Cardamom Restaurant,2,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: Closed', 'Tuesday: 11:00 AM – 3:00 PM, 5:00 – 10:00 PM', 'Wednesday: 11:00 AM – 3:00 PM, 5:00 – 10:00 PM', 'Thursday: 11:00 AM – 3:00 PM, 5:00 – 10:00 PM', 'Friday: 11:00 AM – 3:00 PM, 5:00 – 10:30 PM', 'Saturday: 11:00 AM – 3:00 PM, 5:00 – 10:30 PM', 'Sunday: 11:00 AM – 3:00 PM, 5:00 – 10:00 PM']","1739 Plymouth Rd, Ann Arbor, MI 48104, USA",+17346622877
48,Heidelberg Restaurant,2,4.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 11:00 AM – 2:00 AM', 'Tuesday: 11:00 AM – 2:00 AM', 'Wednesday: 11:00 AM – 2:00 AM', 'Thursday: 11:00 AM – 2:00 AM', 'Friday: 11:00 AM – 2:00 AM', 'Saturday: 11:00 AM – 2:00 AM', 'Sunday: 4:00 PM – 2:00 AM']","215 N Main St, Ann Arbor, MI 48104, USA",+17346637758
49,Frank's Restaurant,2,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 7:00 AM – 3:00 PM', 'Tuesday: 7:00 AM – 3:00 PM', 'Wednesday: 7:00 AM – 3:00 PM', 'Thursday: 7:00 AM – 3:00 PM', 'Friday: 7:00 AM – 3:00 PM', 'Saturday: 7:00 AM – 4:00 PM', 'Sunday: 8:00 AM – 4:00 PM']","334 Maynard St, Ann Arbor, MI 48104, USA",+17347615699
50,Marnee Thai Restaurant,2,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 11:30 AM – 2:00 PM, 5:00 – 9:00 PM', 'Tuesday: 11:30 AM – 2:00 PM, 5:00 – 9:00 PM', 'Wednesday: 11:30 AM – 2:00 PM, 5:00 – 9:00 PM', 'Thursday: 11:30 AM – 2:00 PM, 5:00 – 9:00 PM', 'Friday: 11:30 AM – 2:00 PM, 5:00 – 9:00 PM', 'Saturday: 11:30 AM – 2:00 PM, 5:00 – 9:00 PM', 'Sunday: 4:00 – 9:00 PM']","414 S Main St, Ann Arbor, MI 48104, USA",+17349299933
51,Krazy Jim's Blimpy Burger,2,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 12:00 – 8:00 PM', 'Tuesday: 11:00 AM – 10:00 PM', 'Wednesday: 11:00 AM – 10:00 PM', 'Thursday: 11:00 AM – 10:00 PM', 'Friday: 11:00 AM – 10:00 PM', 'Saturday: 11:00 AM – 10:00 PM', 'Sunday: 12:00 – 8:00 PM']","304 S Ashley St, Ann Arbor, MI 48104, USA",+17346634590
52,Evergreen Restaurant,2,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 11:00 AM – 10:00 PM', 'Tuesday: 11:00 AM – 10:00 PM', 'Wednesday: 11:00 AM – 10:00 PM', 'Thursday: 11:00 AM – 10:00 PM', 'Friday: 11:00 AM – 10:30 PM', 'Saturday: 11:00 AM – 10:30 PM', 'Sunday: 11:00 AM – 10:00 PM']","2771 Plymouth Rd, Ann Arbor, MI 48105, USA",+17347692748
53,Shalimar,2,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 11:30 AM – 2:30 PM, 5:00 – 9:30 PM', 'Tuesday: 11:30 AM – 2:30 PM, 5:00 – 9:30 PM', 'Wednesday: 11:30 AM – 2:30 PM, 5:00 – 9:30 PM', 'Thursday: 11:30 AM – 2:30 PM, 5:00 – 9:30 PM', 'Friday: 11:30 AM – 2:30 PM, 5:00 – 10:30 PM', 'Saturday: 12:00 – 3:00 PM, 5:00 – 10:30 PM', 'Sunday: 12:00 – 3:00 PM, 5:00 – 9:30 PM']","307 S Main St, Ann Arbor, MI 48104, USA",+17346631500
54,Yotsuba Japanese Restaurant,2,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 11:30 AM – 10:00 PM', 'Tuesday: 11:30 AM – 10:00 PM', 'Wednesday: 11:30 AM – 10:00 PM', 'Thursday: 11:30 AM – 10:00 PM', 'Friday: 11:30 AM – 10:00 PM', 'Saturday: 11:30 AM – 10:00 PM', 'Sunday: 12:00 – 9:00 PM']","2222 Hogback Rd, Ann Arbor, MI 48105, USA",+17349715168
55,Seoul Street,2,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 11:00 AM – 9:45 PM', 'Tuesday: 11:00 AM – 9:45 PM', 'Wednesday: 11:00 AM – 9:45 PM', 'Thursday: 11:00 AM – 9:45 PM', 'Friday: 11:00 AM – 10:15 PM', 'Saturday: 11:30 AM – 10:15 PM', 'Sunday: 11:30 AM – 9:45 PM']","1771 Plymouth Rd, Ann Arbor, MI 48105, USA",+17347190085
56,Miki Japanese Restaurant,2,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 11:30 AM – 2:00 PM, 4:30 – 9:30 PM', 'Tuesday: 11:30 AM – 2:00 PM, 4:30 – 9:30 PM', 'Wednesday: 11:30 AM – 2:00 PM, 4:30 – 9:30 PM', 'Thursday: 11:30 AM – 2:00 PM, 4:30 – 10:15 PM', 'Friday: 11:30 AM – 2:00 PM, 4:30 – 10:15 PM', 'Saturday: 12:00 – 10:15 PM', 'Sunday: 4:00 – 9:15 PM']","1304, 106 S 1st St, Ann Arbor, MI 48104, United States",+17346658226
57,Relish Restaurant,2,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 6:30 AM – 10:00 PM', 'Tuesday: 6:30 AM – 10:00 PM', 'Wednesday: 6:30 AM – 10:00 PM', 'Thursday: 6:30 AM – 10:00 PM', 'Friday: 6:30 AM – 10:00 PM', 'Saturday: 6:30 AM – 10:00 PM', 'Sunday: 6:30 AM – 10:00 PM']","610 Hilton Blvd, Ann Arbor, MI 48108, USA",+17347617800
